substance,cas,ecoinvent_kg,edgar_kg,dev_pct,ratio_ei_over_edgar
C2F6,76-16-4,741979.5743381074,791831.5081,-6.295775458785712,0.9370422454121429
CF4,75-73-0,4576624.671464273,5375047.5103,-14.854247098388246,0.8514575290161176
HFC-152a,75-37-6,31027886.82505901,52617530.711710006,-41.03127530810987,0.5896872469189013
HFC-134a,811-97-2,129801341.2996162,252512492.94823,-48.596071511508136,0.5140392848849186
SF6,2551-62-4,3046104.629702244,8543263.918595001,-64.34495458963654,0.35655045410363456
HFC-23,75-46-7,2439500.655921444,9796930.099607388,-75.09933590299673,0.24900664097003275
HFC-125,354-33-6,821.4461664250003,71517683.63878,-99.99885140831661,1.1485916833855291e-05
HFC-143a,420-46-2,63.268969565761,31340606.551644,-99.99979812461682,2.0187538317583126e-06
NF3,7783-54-2,2.635988715161486e-07,142201.1697,-99.99999999981463,1.8537039608904753e-12
